source_global_identifier,destination_global_identifier,rel_type,rel_properties
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__eb6500e44657e17a6225896cfc99ef84,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__e754907b8f5b5fb0dce8edd3aaf9c53a,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__fadf179c213440c78878f156c373ff6c,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__a56e630bfd5b5017587d5a70336a9678,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__a3fea98a07798ca44dc898e70e577dfc,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__931e3e340f6bae235d2150774d988823,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__f894003dcdb53f7cc3b536f7ac51819e,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__8ffbf96a42e0dfce936a29e07721ff1a,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__7122c8982aa6b0ea5de7150a5ac425b7,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__f9eb5d487940dcf84f7cb5e8040168ce,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__e828018ef18f9825d99b9ce73449b200,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__349aeb47a74b032a9d642b5f49fd2a12,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__5e65529094d2eed20e383d6f2d00dac4,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Buffalo_Wild_Wings,mapping__73fd5619260ebbcc868fef3402f2f457,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Rusty_Taco,mapping__8b2dfd2703a92eb4c52363043fd3151b,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Rusty_Taco,mapping__6d5dce18eb72a9b360c701a7465dbaad,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Rusty_Taco,mapping__21d46fee20cffd433cb598d86eede5e8,NAMEVARIANT,"{""from"":""external""}"
mapping__Paul Brown,mapping__5a8b36c7b81463c7b7980a39cb20b61f,NAMEVARIANT,"{""from"":""mapping""}"
mapping__Paul Brown,mapping__2ee80fd61f6a7036945191658daf749d,NAMEVARIANT,"{""from"":""mapping""}"
mapping__Paul Brown,mapping__21da0d68b605695fad3f8995b3695382,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__cbcf7a1408a29211e2e402c52afe04ef,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__2e12cca890274d112a32f2aa8822e785,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__e8228985230890a1b947449ad52d00e2,NAMEVARIANT,"{""from"":""mapping""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__2f200d9abfa2adb9f3319bba9fba6b44,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__c013336267f0674b38645bdcfa43736c,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__99c4149ff4efeb10474daf8c404ceb3f,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Capri_Sun,mapping__fd8df9e0a2c6415f6b24122119e5ad62,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Nestea,mapping__17c28bc881b2559be46493cc985a2dcd,NAMEVARIANT,"{""from"":""mapping""}"
