source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__Bharat Tewarie,mapping__https://en.wikipedia.org/wiki/UCB_(company),ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bharat Tewarie,mapping__d7a42f9c5406c2f42cce17074b76faf3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bharat Tewarie,mapping__f07af4034a341e733716c9faed89045b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhaskar Ghosh,mapping__https://en.wikipedia.org/wiki/Accenture,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bhaskar Ghosh,mapping__a98215d3b54977b3f5b5f840b7fee1ac,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhaskar Ghosh,mapping__aa9e03c12948b23b7c600f6018eeab09,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhaskar Pramanik,mapping__https://en.wikipedia.org/wiki/State_Bank_of_India,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bhaskar Pramanik,mapping__9c6d9a573f892efa5414613ef49dc002,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhaskar Pramanik,mapping__fd8d2026ab280c1dfba868369fea0789,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhavani Amirthalingam,mapping__https://en.wikipedia.org/wiki/Ameren,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bhavani Amirthalingam,mapping__07c0a363fd2e025870286288522dc7e8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhavani Amirthalingam,mapping__3098310b7f82d2ff67da4e33c069c947,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhavesh Patel,KP__bjfMtyCDjJmc6tgMbelxJB,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhavesh Patel,mapping__https://en.wikipedia.org/wiki/LyondellBasell,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Bhavesh Patel,mapping__3c67275831694afc4b4ebf443024f1bb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhavesh Patel,mapping__c0dd101db56912626cb21d5159254240,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__BHC Pinnacle Pointe Hospital,mapping__https://en.wikipedia.org/wiki/Universal_Health_Services,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__BHC Pinnacle Pointe Hospital,mapping__41d46b5e6eae8fac30c2fe2292ba1434,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__BHC Pinnacle Pointe Hospital,mapping__6272ba99eb9e99c6b11afbb13ffd437d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bheki Khumalo,KP__472ca31ec611966ca9911192c235a85d,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bheki Khumalo,mapping__7d5f1dc27cdf677ad330c00ddcab5448,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bheki Khumalo,mapping__3a342eeb1838951a88a41154407b8068,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhupender Singh,mapping__https://en.wikipedia.org/wiki/Teleperformance,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bhupender Singh,mapping__b57d7c4109c5a065955749471afb373e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bhupender Singh,mapping__772226c46280fb78f3acd1d2edd1fa94,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__UNKNOWN,KP__42585b68e0557030e1838ca205e3b6cb,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bian Chen,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bian Chen,mapping__c0653ddf29fe85e3eb7bf3a4f900131d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bian Chen,mapping__a1e733b5e0786fcc406c4871621ecc9e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bian Jiajun,mapping__https://en.wikipedia.org/wiki/Shanghai_Construction_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bian Jiajun,mapping__601eba67bc59cc1f7bcf97bd40e91998,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bian Jiajun,mapping__c164d414218a1659de1b4d9c003d33a5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Bidvest_Group,KP__66bda79fa8593e0db2b97b28432c81aa,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Bidvest_Insurance,mapping__https://en.wikipedia.org/wiki/Bidvest_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__https://en.wikipedia.org/wiki/Bidvest_Insurance,mapping__44c0386cbf0decb7d6ecf17c2f589a95,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Bidvest_Insurance,mapping__e9316d7602b1a9dc8cf5df93608c71a3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bidvest Namibia,mapping__https://en.wikipedia.org/wiki/Bidvest_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bidvest Namibia,mapping__bd0d56ba4718ca0da0f5a234a9cc3813,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bidvest Namibia,mapping__3aef00e41ac80fb5b31625436d7b69e7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bidvest Protea Coin,mapping__https://en.wikipedia.org/wiki/Bidvest_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bidvest Protea Coin,mapping__61e182cafbcbeef12dc6029b8c4d92bc,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bidvest Protea Coin,mapping__fd3e35704b527fb08b9ca5f2a92fabff,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bihong Peng,mapping__https://en.wikipedia.org/wiki/China_Communications_Construction_Company,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bihong Peng,mapping__9ec571fcb8067d93619cfaa5dfd72ff6,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bihong Peng,mapping__53a5976b9886bef5d87ad5c0412d79d5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Bilal_Ekşi,mapping__https://en.wikipedia.org/wiki/Turkish_Airlines,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__https://en.wikipedia.org/wiki/Bilal_Ekşi,mapping__78707d095169f74c727d87b00663d3b9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/Bilal_Ekşi,mapping__fe6e88d8081c7e98fd321d5e350b3897,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bilgehan Anlas,mapping__https://en.wikipedia.org/wiki/Japan_Tobacco,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bilgehan Anlas,mapping__a1957aac5c273eb5c52f9910d884d189,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bilgehan Anlas,mapping__5eff8ef4903783c6a8a2022b62167aac,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Anderson,mapping__https://en.wikipedia.org/wiki/Roche,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bill Anderson,mapping__a34d7734fe24cffe3f307b0254bd5930,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Anderson,mapping__6b488c90f5cd3c1d7461b02dd2bd454c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Beistline,KP__8d760acc2f2ca23799ba4cfa23a3fe45,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bill Beistline,mapping__e4703f6c16bf0ea5157f5cbadce35074,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Beistline,mapping__a1161b3e3e885aa14a6b4f6cde55bdc0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Bohstedt,mapping__https://en.wikipedia.org/wiki/Arthur_J._Gallagher_&_Co.,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bill Bohstedt,mapping__bd9df8f5f49deef558b3f77cac1a5f58,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Bohstedt,mapping__3480f0fb23f4d3d2ab25521d799dc59c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__https://en.wikipedia.org/wiki/C&S_Wholesale_Grocers,KP__6d8c24d4d5b4454462cdc73d09fc2f36,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Boyd,mapping__https://en.wikipedia.org/wiki/C&S_Wholesale_Grocers,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bill Boyd,mapping__a2b4c730f3f6505baac5c36302bc577f,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Boyd,mapping__c268a4ec0e74780e6f60c0b4814b4cba,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__UNKNOWN,KP__f92268dd142806c09d9206c26739a235,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Braman,mapping__UNKNOWN,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Bill Braman,mapping__5097b6d9cfb8936f18d4e41d2a509117,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Bill Braman,mapping__1748d9734cd223de82288c51fa39b637,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
